"hyp","evalue","BHcrit","rejected","outcome","var"
"MotivationXDepressed (adolescent)",8.04531375274746e+39,TRUE,TRUE,"Depressed (adolescent)","Motivation"
"MotivationXLow self-esteem (adolescent)",3.05723571646959e+29,TRUE,TRUE,"Low self-esteem (adolescent)","Motivation"
"MaleXDepressed (adolescent)",1101069543898946,TRUE,TRUE,"Depressed (adolescent)","Male"
"DistressXHigh emotional problems (parent)",7287067.69834463,TRUE,TRUE,"High emotional problems (parent)","Distress"
"MaleXLow self-esteem (adolescent)",2079928.4732204,TRUE,TRUE,"Low self-esteem (adolescent)","Male"
"ClosenessXDepressed (adolescent)",1577570.03275799,TRUE,TRUE,"Depressed (adolescent)","Closeness"
"ClosenessXHigh conduct problems (parent)",3614.94073626369,TRUE,TRUE,"High conduct problems (parent)","Closeness"
"DistressXHigh peer problems (parent)",3330.73046266139,TRUE,TRUE,"High peer problems (parent)","Distress"
"ClosenessXLow self-esteem (adolescent)",1148.84195215225,TRUE,TRUE,"Low self-esteem (adolescent)","Closeness"
"DistressXHigh total difficulties (parent)",796.05597338525,TRUE,TRUE,"High total difficulties (parent)","Distress"
"MaleXHigh hyperactivity/inattention (parent)",118.828935025861,FALSE,FALSE,"High hyperactivity/inattention (parent)","Male"
"IllnessXHigh total difficulties (parent)",85.2099192971324,FALSE,FALSE,"High total difficulties (parent)","Illness"
"IllnessXHigh emotional problems (parent)",0.0935654747545795,FALSE,FALSE,"High emotional problems (parent)","Illness"
"MotivationXHigh hyperactivity/inattention (parent)",0.0165721046870576,FALSE,FALSE,"High hyperactivity/inattention (parent)","Motivation"
"MotivationXHigh total difficulties (parent)",0.0165221995852072,FALSE,FALSE,"High total difficulties (parent)","Motivation"
"IllnessXHigh peer problems (parent)",0.00907036076773349,FALSE,FALSE,"High peer problems (parent)","Illness"
"IllnessXHigh hyperactivity/inattention (parent)",0.00480707295854601,FALSE,FALSE,"High hyperactivity/inattention (parent)","Illness"
"ScoreXHigh peer problems (parent)",0.00437722602086187,FALSE,FALSE,"High peer problems (parent)","Score"
"DistressXHigh hyperactivity/inattention (parent)",0.000101599780095412,FALSE,FALSE,"High hyperactivity/inattention (parent)","Distress"
"MotivationXHigh peer problems (parent)",3.97445440585851e-05,FALSE,FALSE,"High peer problems (parent)","Motivation"
"BMIXHigh peer problems (parent)",3.62257442067029e-05,FALSE,FALSE,"High peer problems (parent)","BMI"
"ClosenessXHigh hyperactivity/inattention (parent)",1.64648448745763e-05,FALSE,FALSE,"High hyperactivity/inattention (parent)","Closeness"
"MaleXHigh emotional problems (parent)",7.60358586792308e-06,FALSE,FALSE,"High emotional problems (parent)","Male"
"ClosenessXHigh peer problems (parent)",1.92653353486938e-06,FALSE,FALSE,"High peer problems (parent)","Closeness"
"IncomeXHigh peer problems (parent)",1.90468773601114e-06,FALSE,FALSE,"High peer problems (parent)","Income"
"`Electronic games`XHigh peer problems (parent)",1.00002376393947e-06,FALSE,FALSE,"High peer problems (parent)","`Electronic games`"
"SiblingsXHigh peer problems (parent)",9.83555747979188e-07,FALSE,FALSE,"High peer problems (parent)","Siblings"
"`Social media`XHigh peer problems (parent)",7.74185382044576e-07,FALSE,FALSE,"High peer problems (parent)","`Social media`"
"`Other internet`XHigh peer problems (parent)",5.58588370376304e-07,FALSE,FALSE,"High peer problems (parent)","`Other internet`"
"ClosenessXHigh total difficulties (parent)",3.09431990652056e-07,FALSE,FALSE,"High total difficulties (parent)","Closeness"
"TimeXHigh peer problems (parent)",1.97337534504331e-07,FALSE,FALSE,"High peer problems (parent)","Time"
"BMIXLow self-esteem (adolescent)",1.23897724752441e-07,FALSE,FALSE,"Low self-esteem (adolescent)","BMI"
"TVXHigh peer problems (parent)",9.11516952648398e-08,FALSE,FALSE,"High peer problems (parent)","TV"
"EmployedXHigh peer problems (parent)",8.07296210215571e-08,FALSE,FALSE,"High peer problems (parent)","Employed"
"AgeXHigh peer problems (parent)",1.81516403247189e-08,FALSE,FALSE,"High peer problems (parent)","Age"
"EthnicityXHigh peer problems (parent)",1.49162022078073e-08,FALSE,FALSE,"High peer problems (parent)","Ethnicity"
"`Own computer`XHigh peer problems (parent)",1.42763382675479e-08,FALSE,FALSE,"High peer problems (parent)","`Own computer`"
"FatherXHigh peer problems (parent)",1.02271386202537e-08,FALSE,FALSE,"High peer problems (parent)","Father"
"MaleXHigh peer problems (parent)",9.97225066276689e-09,FALSE,FALSE,"High peer problems (parent)","Male"
"ClosenessXLow pro-sociality (parent)",5.81111443121516e-09,FALSE,FALSE,"Low pro-sociality (parent)","Closeness"
"`Other internet`XLow self-esteem (adolescent)",7.15692012215839e-10,FALSE,FALSE,"Low self-esteem (adolescent)","`Other internet`"
"IllnessXLow self-esteem (adolescent)",4.36738684612175e-10,FALSE,FALSE,"Low self-esteem (adolescent)","Illness"
"`Social media`XLow self-esteem (adolescent)",8.47931534648033e-11,FALSE,FALSE,"Low self-esteem (adolescent)","`Social media`"
"MotivationXHigh emotional problems (parent)",6.33757630772058e-11,FALSE,FALSE,"High emotional problems (parent)","Motivation"
"IllnessXDepressed (adolescent)",5.15955579704968e-11,FALSE,FALSE,"Depressed (adolescent)","Illness"
"`Other internet`XDepressed (adolescent)",4.18315509209678e-11,FALSE,FALSE,"Depressed (adolescent)","`Other internet`"
"`Social media`XDepressed (adolescent)",2.98785521607684e-11,FALSE,FALSE,"Depressed (adolescent)","`Social media`"
"ClosenessXHigh emotional problems (parent)",1.94675600194108e-11,FALSE,FALSE,"High emotional problems (parent)","Closeness"
"BMIXDepressed (adolescent)",1.56595299051122e-11,FALSE,FALSE,"Depressed (adolescent)","BMI"
"TimeXHigh hyperactivity/inattention (parent)",1.21070312185448e-11,FALSE,FALSE,"High hyperactivity/inattention (parent)","Time"
"EthnicityXHigh hyperactivity/inattention (parent)",1.08253331003373e-11,FALSE,FALSE,"High hyperactivity/inattention (parent)","Ethnicity"
"ScoreXHigh hyperactivity/inattention (parent)",9.20650548393415e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Score"
"IncomeXHigh hyperactivity/inattention (parent)",5.11288314491089e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Income"
"FatherXHigh hyperactivity/inattention (parent)",3.63305394289507e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Father"
"ScoreXHigh emotional problems (parent)",3.44610543812199e-12,FALSE,FALSE,"High emotional problems (parent)","Score"
"BMIXHigh total difficulties (parent)",3.26245926930807e-12,FALSE,FALSE,"High total difficulties (parent)","BMI"
"ScoreXHigh total difficulties (parent)",2.09508434805251e-12,FALSE,FALSE,"High total difficulties (parent)","Score"
"IncomeXHigh total difficulties (parent)",1.49402837742182e-12,FALSE,FALSE,"High total difficulties (parent)","Income"
"`Electronic games`XHigh hyperactivity/inattention (parent)",1.44939901713042e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Electronic games`"
"BMIXHigh hyperactivity/inattention (parent)",1.22667617038773e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","BMI"
"EmployedXHigh hyperactivity/inattention (parent)",1.14625042694693e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Employed"
