"llik","modname","yvar"
-1350.220301231,"minIncome","High total difficulties (parent)"
-1341.92492037593,"minSiblings","High total difficulties (parent)"
-1384.12951576784,"minDistress","High total difficulties (parent)"
-1343.69776604643,"minTime","High total difficulties (parent)"
-1381.89496411687,"minIllness","High total difficulties (parent)"
-1342.55675341825,"minEmployed","High total difficulties (parent)"
-1350.55841896438,"minScore","High total difficulties (parent)"
-1341.96923852435,"minFather","High total difficulties (parent)"
-1362.46131875776,"minCloseness","High total difficulties (parent)"
-1342.26748973635,"minEthnicity","High total difficulties (parent)"
-1373.34679589319,"minMotivation","High total difficulties (parent)"
-1351.00130643828,"minBMI","High total difficulties (parent)"
-1342.06606768958,"minAge","High total difficulties (parent)"
-1342.66592869988,"minMale","High total difficulties (parent)"
-1342.25762099475,"min`Own computer`","High total difficulties (parent)"
-1342.35747794459,"min`Other internet`","High total difficulties (parent)"
-1345.37377889001,"min`Social media`","High total difficulties (parent)"
-1343.51967979741,"min`Electronic games`","High total difficulties (parent)"
-1343.66227408832,"minTV","High total difficulties (parent)"
-1343.96735395836,"min(Intercept)","High total difficulties (parent)"
