"var","evalue","yvar"
"Income",1.90468773601114e-06,"High peer problems (parent)"
"Siblings",9.83555747979188e-07,"High peer problems (parent)"
"Distress",3330.73046266139,"High peer problems (parent)"
"Time",1.97337534504331e-07,"High peer problems (parent)"
"Illness",0.00907036076773349,"High peer problems (parent)"
"Employed",8.07296210215571e-08,"High peer problems (parent)"
"Score",0.00437722602086187,"High peer problems (parent)"
"Father",1.02271386202537e-08,"High peer problems (parent)"
"Closeness",1.92653353486938e-06,"High peer problems (parent)"
"Ethnicity",1.49162022078073e-08,"High peer problems (parent)"
"Motivation",3.97445440585851e-05,"High peer problems (parent)"
"BMI",3.62257442067029e-05,"High peer problems (parent)"
"Age",1.81516403247189e-08,"High peer problems (parent)"
"Male",9.97225066276689e-09,"High peer problems (parent)"
"`Own computer`",1.42763382675479e-08,"High peer problems (parent)"
"`Other internet`",5.58588370376304e-07,"High peer problems (parent)"
"`Social media`",7.74185382044576e-07,"High peer problems (parent)"
"`Electronic games`",1.00002376393947e-06,"High peer problems (parent)"
"TV",9.11516952648398e-08,"High peer problems (parent)"
"(Intercept)",6.81577152135729e-08,"High peer problems (parent)"
