"hyp","evalue","BHcrit","rejected"
"ClosenessXLow pro-sociality (parent)",5.81111443121516e-09,FALSE,FALSE
"SiblingsXLow pro-sociality (parent)",1.27595998217625e-15,FALSE,FALSE
"MotivationXLow pro-sociality (parent)",6.73164333839921e-16,FALSE,FALSE
"DistressXLow pro-sociality (parent)",6.11226903817958e-16,FALSE,FALSE
"`Electronic games`XLow pro-sociality (parent)",3.95113316867207e-16,FALSE,FALSE
"MaleXLow pro-sociality (parent)",1.24066914625805e-16,FALSE,FALSE
"TVXLow pro-sociality (parent)",6.55099475828498e-17,FALSE,FALSE
"`Social media`XLow pro-sociality (parent)",2.65021353545893e-17,FALSE,FALSE
"IllnessXLow pro-sociality (parent)",2.63285961734329e-17,FALSE,FALSE
"FatherXLow pro-sociality (parent)",1.50593866825661e-17,FALSE,FALSE
"ScoreXLow pro-sociality (parent)",1.23033256151978e-17,FALSE,FALSE
"EmployedXLow pro-sociality (parent)",1.14727403983924e-17,FALSE,FALSE
"BMIXLow pro-sociality (parent)",9.33758366327559e-18,FALSE,FALSE
"IncomeXLow pro-sociality (parent)",8.81716002964835e-18,FALSE,FALSE
"TimeXLow pro-sociality (parent)",8.41611630018898e-18,FALSE,FALSE
"EthnicityXLow pro-sociality (parent)",7.92812763885381e-18,FALSE,FALSE
"`Own computer`XLow pro-sociality (parent)",7.05624120806604e-18,FALSE,FALSE
"`Other internet`XLow pro-sociality (parent)",6.70390930459952e-18,FALSE,FALSE
"AgeXLow pro-sociality (parent)",6.66065180227247e-18,FALSE,FALSE
