"hyp","evalue","BHcrit","rejected"
"MotivationXLow self-esteem (adolescent)",2.32913357602381e+43,TRUE,TRUE
"MaleXLow self-esteem (adolescent)",285228056.41443,TRUE,TRUE
"ClosenessXLow self-esteem (adolescent)",7.20656033878928,FALSE,FALSE
"`Other internet`XLow self-esteem (adolescent)",0.00244626670977187,FALSE,FALSE
"BMIXLow self-esteem (adolescent)",0.00158191415083657,FALSE,FALSE
"`Social media`XLow self-esteem (adolescent)",5.28553598989238e-07,FALSE,FALSE
"IllnessXLow self-esteem (adolescent)",3.13243066443932e-08,FALSE,FALSE
"SiblingsXLow self-esteem (adolescent)",1.27876842062792e-08,FALSE,FALSE
"EmployedXLow self-esteem (adolescent)",6.1118204422934e-09,FALSE,FALSE
"ScoreXLow self-esteem (adolescent)",6.01901265584895e-09,FALSE,FALSE
"`Own computer`XLow self-esteem (adolescent)",5.91379168849687e-09,FALSE,FALSE
"TVXLow self-esteem (adolescent)",5.30547870539671e-09,FALSE,FALSE
"TimeXLow self-esteem (adolescent)",5.05102321866061e-09,FALSE,FALSE
"FatherXLow self-esteem (adolescent)",4.56976227593724e-09,FALSE,FALSE
"DistressXLow self-esteem (adolescent)",3.83683093096177e-09,FALSE,FALSE
"IncomeXLow self-esteem (adolescent)",3.71856323321924e-09,FALSE,FALSE
"EthnicityXLow self-esteem (adolescent)",3.26685101223749e-09,FALSE,FALSE
"`Electronic games`XLow self-esteem (adolescent)",3.05953624132903e-09,FALSE,FALSE
"AgeXLow self-esteem (adolescent)",2.99899450812564e-09,FALSE,FALSE
