"modelid","ic","llik","modname","yvar"
"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20",4619.75157496079,-2309.8757874804,"minFather","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4619.75691192428,-2309.87845596214,"minIncome","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20",4619.84482537295,-2309.92241268648,"minDistress","Low self-esteem (adolescent)"
"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4619.84604697656,-2309.92302348828,"min`Electronic games`","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20",4620.0150702782,-2310.0075351391,"minEthnicity","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20",4620.63679872909,-2310.31839936454,"minEmployed","Low self-esteem (adolescent)"
"1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4620.87157153177,-2310.43578576588,"minTV","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20",4621.37274882324,-2310.68637441162,"minSiblings","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20",4621.67373085856,-2310.83686542928,"minTime","Low self-esteem (adolescent)"
"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4621.90361900572,-2310.95180950286,"min`Own computer`","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20",4622.38013992131,-2311.19006996066,"minScore","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20",4623.30488004757,-2311.65244002378,"minAge","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4628.8042472654,-2314.4021236327,"full","Low self-esteem (adolescent)"
"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4633.45543840849,-2316.72771920424,"min`Social media`","Low self-esteem (adolescent)"
"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4633.99139901822,-2316.99569950911,"min(Intercept)","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20",4639.56277524208,-2319.78138762104,"minIllness","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20",4656.53590881262,-2328.26795440631,"minBMI","Low self-esteem (adolescent)"
"1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4658.45741332787,-2329.22870666393,"min`Other internet`","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20",4729.13708350329,-2364.56854175164,"minCloseness","Low self-esteem (adolescent)"
"1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20",4801.24608105079,-2400.62304052539,"minMale","Low self-esteem (adolescent)"
"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20",5034.42556088306,-2517.21278044153,"minMotivation","Low self-esteem (adolescent)"
