"hyp","evalue","BHcrit","rejected"
"SexXLow self-esteem (adolescent)",1.00546665431427e+247,TRUE,TRUE
"`Electronic Device Use`XLow self-esteem (adolescent)",4.11950768002441e+36,TRUE,TRUE
"BMIXLow self-esteem (adolescent)",2.40228741110433e-05,FALSE,FALSE
"`TV Use`mediumXLow self-esteem (adolescent)",1.57424711731585e-18,FALSE,FALSE
"GradeXLow self-esteem (adolescent)",4.39448631637623e-27,FALSE,FALSE
"`Aged 12`XLow self-esteem (adolescent)",3.41163236683693e-32,FALSE,FALSE
"Year2015XLow self-esteem (adolescent)",3.87050058060914e-33,FALSE,FALSE
"AgeXLow self-esteem (adolescent)",7.23706002682898e-34,FALSE,FALSE
"Year2009XLow self-esteem (adolescent)",9.90887386905453e-35,FALSE,FALSE
"RaceXLow self-esteem (adolescent)",4.36441239866925e-35,FALSE,FALSE
"Year2013XLow self-esteem (adolescent)",1.46394779130383e-35,FALSE,FALSE
"`TV Use`highXLow self-esteem (adolescent)",1.2328967823614e-35,FALSE,FALSE
"Year2011XLow self-esteem (adolescent)",1.18979986839363e-35,FALSE,FALSE
"`Aged 13`XLow self-esteem (adolescent)",1.14856852146037e-35,FALSE,FALSE
