"hyp","evalue","BHcrit","rejected","outcome","var"
"SexXLow self-esteem (adolescent)",1.00546665431427e+247,TRUE,TRUE,"Low self-esteem (adolescent)","Sex"
"`Electronic Device Use`XLow self-esteem (adolescent)",4.11950768002441e+36,TRUE,TRUE,"Low self-esteem (adolescent)","`Electronic Device Use`"
"BMIXLow self-esteem (adolescent)",2.40228741110433e-05,FALSE,FALSE,"Low self-esteem (adolescent)","BMI"
"`TV Use`mediumXLow self-esteem (adolescent)",1.57424711731585e-18,FALSE,FALSE,"Low self-esteem (adolescent)","`TV Use`medium"
"GradeXLow self-esteem (adolescent)",4.39448631637623e-27,FALSE,FALSE,"Low self-esteem (adolescent)","Grade"
"`Aged 12`XLow self-esteem (adolescent)",3.41163236683693e-32,FALSE,FALSE,"Low self-esteem (adolescent)","`Aged 12`"
"Year2015XLow self-esteem (adolescent)",3.87050058060914e-33,FALSE,FALSE,"Low self-esteem (adolescent)","Year2015"
"AgeXLow self-esteem (adolescent)",7.23706002682898e-34,FALSE,FALSE,"Low self-esteem (adolescent)","Age"
"Year2009XLow self-esteem (adolescent)",9.90887386905453e-35,FALSE,FALSE,"Low self-esteem (adolescent)","Year2009"
"RaceXLow self-esteem (adolescent)",4.36441239866925e-35,FALSE,FALSE,"Low self-esteem (adolescent)","Race"
"Year2013XLow self-esteem (adolescent)",1.46394779130383e-35,FALSE,FALSE,"Low self-esteem (adolescent)","Year2013"
"`TV Use`highXLow self-esteem (adolescent)",1.2328967823614e-35,FALSE,FALSE,"Low self-esteem (adolescent)","`TV Use`high"
"Year2011XLow self-esteem (adolescent)",1.18979986839363e-35,FALSE,FALSE,"Low self-esteem (adolescent)","Year2011"
"`Aged 13`XLow self-esteem (adolescent)",1.14856852146037e-35,FALSE,FALSE,"Low self-esteem (adolescent)","`Aged 13`"
