"(Intercept)","`1`","`10`","`11`","`12`","`13`","`14`","`15`","`16`","`17`","`18`","`19`","`2`","`20`","`3`","`4`","`5`","`6`","`7`","`8`","`9`","sim","n"
3.97634288707162e-113,3.81181904041395e-59,4.0278799082847e-113,6.35274058601929e-113,8.12213900151587e-113,4.62718330698159e-113,1.52572453355588e-112,5.11438326484551e-113,2.09482197342353e-112,4.02023612928185e-113,3.92886058662692e-113,4.41128131351193e-113,1.76889523808921e-12,5.60438567494373e-113,3.5418089072027e+63,2.5152670031215e+306,Inf,Inf,Inf,4.85519655980148e-113,6.39631399139435e-113,1,1200
2.09223462638025e-120,1.06077083333956e-51,4.17642506623592e-120,2.17584892906211e-120,2.07056749872667e-120,2.0701631718197e-120,2.79247390660499e-120,2.85938972737182e-120,2.26295540380699e-120,2.19577602138268e-120,2.30476485135508e-120,2.5016921545269e-120,1.15471528183062e-09,2.15978233143288e-120,8.37351166085977e+79,Inf,Inf,Inf,Inf,2.19757553956387e-120,1.25849850009923e-119,2,1200
2.5943234760616e-120,1.18827308787829e-64,2.24350391599482e-120,7.57932186300427e-120,2.18500100874753e-120,2.20169566550102e-120,6.51659501496558e-120,3.41088443044935e-120,3.65712112217435e-120,3.59961022258346e-120,3.10323771527531e-120,3.45993734219034e-120,131315729.882716,2.70500930201403e-120,7.80750192035557e+91,Inf,Inf,Inf,Inf,2.29196417828081e-120,2.17022989184092e-120,3,1200
1.59417460002539e-114,1.51491589836772e-32,2.07929930649165e-114,4.46807361048509e-114,1.50945703493276e-114,1.59225429000292e-114,2.71504351350662e-114,2.09357647339062e-114,1.46921085699505e-114,8.96116553113497e-114,1.43488111470175e-114,2.08583837548636e-114,2.34926234971867e-08,1.62576393822443e-114,5.24693500730563e+73,Inf,Inf,Inf,Inf,1.88075414200479e-114,1.67038478002669e-114,4,1200
3.49403523604119e-116,2.59887247574416e-47,1.52822191664885e-115,3.86983037629118e-116,5.60665368021019e-116,3.97937841549266e-116,4.5614028835793e-116,3.49650792261497e-116,3.46935400080056e-115,7.5428048871132e-116,5.85406036445748e-116,4.96766350044987e-116,6.25036769192447e-28,5.74506285727856e-116,3.33193486330965e+69,Inf,Inf,Inf,Inf,4.63727359782064e-116,1.94166673539853e-115,5,1200
9.06436624764568e-115,7.77064469698084e-54,7.97372882556448e-115,3.88012951389539e-114,2.40938628789343e-114,1.30066351145663e-114,8.30631223878833e-115,9.77920960857324e-115,1.07018193019575e-114,1.2655100079872e-114,8.98383141606211e-115,1.79525614061513e-114,6.68661910873651e-10,1.51113916741183e-114,3.84693650122623e+85,Inf,Inf,Inf,Inf,1.19095302342802e-114,7.98303823405153e-115,6,1200
1.17613836824071e-112,6.09487734705852e-64,6.40830599558286e-112,1.63740087394709e-112,1.15496416915754e-112,1.32326076312756e-112,1.32318827843204e-112,1.17336199065098e-112,4.10502875981863e-112,1.20931740295383e-112,1.14011182435753e-112,1.35524487567807e-112,1.31988196551987e-23,5.64447548693777e-112,2.48701804257032e+62,Inf,Inf,Inf,Inf,1.46220714049983e-111,1.32864539552746e-112,7,1200
1.76456902298017e-114,2.55419800549313e-50,4.23027159701895e-114,1.63676894271933e-114,2.23492885650242e-114,1.72173890355976e-114,1.78517181730955e-114,6.94716786445072e-114,3.24832371149898e-114,2.56059023267013e-114,3.11165980985769e-114,1.72747754977514e-112,3.87890640554713e-21,1.88751548746759e-114,5.55888145911435e+66,Inf,Inf,Inf,Inf,2.56002518640761e-114,1.76454830855477e-114,8,1200
1.17532409250361e-116,1.22161437012339e-51,1.35069946410691e-116,1.49542754807033e-116,1.209688010162e-116,2.25068695693866e-116,1.21334192092414e-116,5.045194196341e-116,1.58159716635019e-116,1.41121393636969e-115,6.61417974046034e-116,2.05570242062934e-116,1.76758091943992e-07,1.8392629407141e-115,3.18916784506831e+87,Inf,Inf,Inf,Inf,1.31664856058739e-116,1.90486473808282e-116,9,1200
1.91276613860941e-113,7.5333676679596e-53,9.45091343361097e-113,4.82977799609703e-113,3.2256344504951e-113,1.9734355340128e-113,9.27374773288239e-113,4.44038712462793e-113,1.93520453181428e-111,1.54582915931776e-112,1.17262126111722e-112,2.0179607812443e-113,3.08100051526249e-08,1.90976156183065e-113,3.10998174239812e+74,Inf,Inf,Inf,Inf,1.92637571719933e-113,4.88924293244258e-113,10,1200
