"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
2.95228224450384e-52,3.42615081418647e-47,2.38007766952974e-52,8.63193837948126e-52,2.22119874309947e-52,2.17156377368418e-52,2.50802268111485e-52,4.26809900466457e-52,9.69916307250024e-52,2.17400965187701e-52,2.92799554296996e-52,6.01401249557179e-52,3.29926623352961e-33,2.1706432934426e-52,7.55522522151063e-27,87.9833437232659,1.30789155767431e+30,3.77850280597955e+39,4.41835553742574e+51,8.43812683430341e-52,2.27743305096513e-52,1,300
2.60602984855073e-51,2.92765460385571e-45,5.6342250957513e-51,1.96018324600387e-51,8.22365600430838e-51,1.6088019338729e-51,1.60120718524808e-51,8.26626450871528e-51,3.18473928426646e-51,1.60031641197095e-51,5.47616480336357e-51,1.61312226631616e-51,1.3893433114455e-38,1.24667743751259e-50,2.68280484079268e-24,2857275956.32885,8.40108862061516e+29,3.94372046723873e+31,2.83775108888191e+48,1.69168479031467e-51,1.68958261472063e-51,2,300
7.26632588611117e-56,3.02714388616066e-49,7.19604164427229e-56,7.4035611680549e-56,1.06897328644656e-55,7.06728921613356e-56,1.15293360141976e-55,7.15394748149435e-56,7.17515853565997e-56,7.16720446409252e-56,8.20153403104938e-56,7.07520097283698e-56,3.18549158721296e-42,2.94023512820372e-55,2.51624528318807e-28,44002223968.0236,1.17785590540258e+36,2.92888214829061e+37,3.3400277432046e+62,8.00389893459006e-56,8.6474945483225e-56,3,300
3.56504776281658e-52,6.40592764262685e-44,3.24016370987237e-52,2.85732037016133e-52,3.64225104595139e-52,4.06267303066813e-52,2.8623917463468e-52,3.42542467507096e-51,3.20342977867835e-52,2.90221940662672e-52,2.97107478790337e-52,7.20628791686907e-52,8.92477894422223e-38,2.97413359229622e-52,1.64369994202205e-18,179.671390752267,3.75752857738705e+22,2.38997711046146e+34,6.4345823065936e+45,2.82366962746699e-52,3.76462837678801e-52,4,300
1.10631118993744e-50,2.43800728231431e-41,8.47906779232211e-51,6.61210521666968e-51,2.95344808356353e-50,6.34982301562457e-51,6.41057419308208e-51,8.90465316438236e-51,8.76485269777067e-51,1.082878224474e-50,1.47905989011879e-50,6.46357054668246e-51,1.63126717611306e-35,6.30580175593323e-51,2.64146364352835e-28,0.000559397726242387,1.19183972911648e+25,3.17650776781965e+24,4.55703514322283e+52,1.18434238842486e-50,2.33476305110852e-50,5,300
7.84732033403585e-54,2.30625551521355e-47,7.61328718536228e-54,7.33097954591867e-54,2.05899836253069e-53,1.30891646240446e-53,1.09655178122502e-53,6.18374621441196e-54,6.21456034717532e-54,7.14887343324515e-54,1.47799788008704e-53,6.31598815202375e-54,2.71333660102339e-35,6.29891387413199e-54,1.11652788582798e-29,105062.961539745,7.35994870628684e+34,3.61584966220162e+37,5.13982105231599e+51,1.24455964499218e-53,6.89565686776911e-54,6,300
2.92737424530495e-53,1.67331110842852e-41,2.99051031712113e-53,2.33017012997985e-53,2.97642545309272e-53,2.42727471309122e-53,1.19591144317691e-52,6.11262862808865e-52,3.24048712500185e-53,2.60573524005585e-53,2.42152927406603e-53,2.32924474636558e-53,2.87002335205684e-37,3.67543589901892e-53,2.81966312343761e-24,8297762394.96385,4.47081030844817e+28,3.83728166048653e+28,5.48810218772331e+54,3.68218880482345e-53,4.15340162974806e-53,7,300
3.83660025237348e-52,6.74845626547592e-46,1.11925886223054e-53,1.07333007105533e-53,2.90771521491156e-53,3.3960128614373e-53,2.57205772779008e-53,1.11143293686328e-53,3.17877831742552e-53,1.11148232265377e-53,1.33806603851e-53,1.06789970025664e-53,3.28091849861688e-38,1.0917031418867e-53,4.80198190172468e-28,5998676.73672453,9.44679485432179e+20,2.38485490159811e+40,8.51493811853186e+63,1.09023320192481e-53,1.64000096453221e-53,8,300
6.41208760931279e-54,1.03132447543157e-49,8.27192297014946e-54,8.3330245416982e-54,9.32072960105498e-54,6.94422061041108e-54,1.3800748084555e-53,6.47155341049376e-54,1.23746720073278e-53,7.71720221265844e-54,1.28123416103836e-53,7.46703296779343e-54,4.62239451026702e-44,8.3991939252558e-54,3.19980549837662e-31,121.290768102901,1.5601840808861e+25,2.84451561749644e+38,1.36867615514885e+55,6.77727917386188e-54,6.37090092030459e-54,9,300
2.12767463849064e-48,3.81463227594456e-41,2.22855855788154e-50,2.76678530157929e-50,1.91448826683983e-50,1.57283486379776e-50,1.5466546553358e-50,1.50484213878077e-50,1.96897146231071e-50,1.62192117093338e-50,4.91041910757113e-50,6.31001642470657e-50,7.96349528860045e-34,4.36319395604162e-50,5.13729991063252e-26,364069.339644646,324035740533559232,8.93561059926019e+48,1.64124759205806e+51,7.44845125272006e-50,2.34299879348809e-50,10,300
4.23417679803662e-54,5.35373610070354e-38,3.4833152228288e-54,3.47698643036436e-54,3.59467424245081e-54,3.85546762911842e-54,3.54639638289311e-54,6.64033805605201e-54,6.06144836915736e-54,3.4860204949679e-54,7.55730638570244e-53,3.44416505764116e-54,1.41510745248709e-39,3.53020981022997e-54,9.71947221328028e-28,310.94620828285,3.95019655060383e+21,5.74604854288329e+41,3.1254161334982e+50,3.51031465447516e-54,3.46538102018873e-54,11,300
3.99859028327622e-54,2.57272237969259e-43,3.3092719629006e-53,6.44269412951861e-54,2.1447808199203e-54,7.4028827752925e-54,2.31198212598764e-54,2.61951352136905e-54,2.1328900827508e-54,2.1133061538088e-54,2.117284971795e-54,2.11208974576705e-54,3.21699945299913e-36,5.61619433231595e-54,4.75501911446034e-26,300830949.120289,3.86351182216487e+33,4.19219704976767e+43,1.61222115923206e+53,2.11478781458785e-54,1.14716322650004e-53,12,300
3.07447046766967e-54,3.64724007643754e-43,2.91457195534328e-54,5.2103868834177e-54,3.02776197442637e-54,3.30484195772962e-54,1.31961421205513e-53,3.24540184858725e-54,2.85062802100881e-54,3.56071515769504e-54,3.47480210345662e-54,3.42135453278598e-54,2.72494153456186e-40,2.8435071713952e-54,5.26733921335482e-25,10085646564.5537,5.7058543804386e+29,4.35602736347868e+43,1.73464338817391e+55,4.63200769199694e-54,5.70963398288918e-54,13,300
1.56626508776817e-51,4.47782671323925e-48,1.0974440587885e-51,3.96903990250301e-51,2.09789298685905e-51,2.26048131686939e-51,7.03607871452193e-52,9.61790693173394e-52,9.02963792745034e-52,5.04873154533584e-50,1.806354632358e-51,7.20760527567222e-52,1.42183583662225e-35,2.63423390443363e-50,4.58404493704924e-30,2.5325558537302e+22,4.70216419428071e+44,6.88744241246755e+38,1.79141941840163e+56,1.36808521414312e-51,9.96224384679081e-52,14,300
3.42077985354239e-53,1.6252693239931e-46,1.37426522859633e-51,3.50834441441675e-53,7.16828027430339e-53,3.53015255767228e-53,3.54966028998203e-53,1.25847267726257e-52,7.23532322918117e-53,6.72977559365876e-53,4.67947495832615e-53,3.35360305595543e-53,4.282608838397e-37,6.99410837959497e-53,7.33704738299559e-26,1633410218150412,4.92086689803368e+34,1.695415804662e+42,8.93752675140279e+50,3.3770926394607e-53,9.09246387043566e-53,15,300
8.272648076825e-53,2.13145470425552e-41,6.6136246933438e-52,4.39792647692484e-52,7.64256566025064e-53,1.43400899641036e-52,8.01725697479242e-53,4.10505008996475e-52,8.44649125134234e-53,1.71307799919693e-52,1.13181441189258e-52,1.11346356080859e-52,1.43693519654315e-44,1.03051492655454e-52,1.70390150193909e-25,1240522.82568022,8.71534458444468e+37,2.86731692565754e+42,3.12158626517332e+56,7.64546897645007e-53,1.06369685182497e-52,16,300
3.27158548844842e-51,2.4622493144636e-42,3.98521737093375e-51,3.39214328490184e-51,4.63534093018191e-51,1.23172400431372e-50,1.42402958286244e-49,5.36378127885894e-51,5.09027911620506e-50,3.16645631053144e-51,2.84999759580619e-50,1.0286768071714e-50,5.3349763849829e-34,3.16477299326979e-51,9.03913360430817e-26,110103308084.146,6.28447869810068e+23,2.49372932811172e+34,1.68760805421467e+56,3.25012887093809e-51,3.64731239232972e-51,17,300
1.02260793397748e-51,7.22028244612898e-48,3.10092216078679e-51,8.43687507642107e-52,9.16503904993991e-52,7.73991913829934e-52,7.8548223814486e-52,9.70285117737997e-52,8.06027806304747e-52,7.64485123368404e-52,7.58310739951654e-52,9.73930145640972e-52,1.14411196735436e-42,7.61449705136073e-52,6.54114000362816e-36,1.00411263792537e-05,1.99595013430824e+23,1.93785826293121e+26,1.34568836988592e+50,8.38322006935674e-52,3.5350367054672e-51,18,300
9.44774171624546e-53,9.46719107617486e-48,4.75471109711943e-53,7.88326407649405e-52,4.62243303836588e-53,1.41788965921372e-52,4.82686658519186e-53,7.54200333331167e-53,1.01942254823674e-52,1.06536381004792e-52,4.71202224060258e-53,4.55901430651749e-53,2.2802110602075e-37,5.50083717309943e-53,5.53343699721334e-28,75590600369.303,5.5544174724247e+30,2.09565993863154e+35,3.92010094290973e+50,4.56925070366796e-53,4.55110217722226e-53,19,300
2.52073450333167e-52,5.30170747500621e-41,2.54562808930686e-52,3.05914893350075e-52,2.50940501077626e-52,2.59268530959649e-52,2.40080201093544e-52,7.27942546539327e-51,2.47488280301501e-52,4.33935559034075e-52,2.66899362091685e-52,2.46327252445495e-52,3.37258859456258e-44,1.34660451726278e-51,1.19896100458435e-31,20.5495695254064,1136643180029905920,7.38850378005977e+36,5.28989554940965e+52,8.1331145476382e-52,8.75779022903628e-52,20,300
4.78198325201683e-52,1.88890670563549e-45,7.35028238326719e-52,5.31485842063006e-52,4.88335941802421e-52,9.12639664118005e-51,5.01855550722009e-52,3.66923122706156e-51,8.5808072787442e-52,6.51164898790169e-51,8.56235143579918e-52,4.67539431122911e-52,5.90805376542272e-29,5.23546311324224e-52,8.16621209207303e-32,1340748434.03612,5.38838034862813e+37,2.64811810258797e+32,2.56913383526031e+55,9.10710096291529e-52,4.59853912625946e-52,21,300
7.05407084788905e-54,7.35010633814723e-49,6.49115346505291e-54,6.1221049131599e-54,1.40300535686345e-53,1.55651074287565e-53,6.26609052515029e-54,8.16089531098951e-54,7.36211034869783e-54,1.43657939782045e-53,7.82028664335056e-54,6.17246368179507e-54,1.08591795910159e-37,7.13905400370103e-54,4.70699845161902e-31,484.714060865947,2.02394884579261e+30,2.34602237758553e+40,1.97740485324731e+54,8.94666146784156e-54,6.12999045658148e-54,22,300
1.74881189294293e-51,1.16457897382504e-46,5.58790744938871e-51,1.83093188890275e-51,2.7342681330013e-51,3.02954301186028e-51,2.15429365507974e-51,1.9183995190855e-51,2.06105315337385e-51,2.20760911404863e-51,1.76123928652579e-51,1.79622964357698e-51,1.33427261902032e-38,2.26657518820472e-51,1.51171872983539e-34,72075.7885618882,11800583071834724352,3.64668752313131e+31,5.59161828352823e+42,2.3513858783268e-51,9.26540183368133e-51,23,300
1.64518663724546e-54,1.40165885300733e-47,2.47730795390595e-54,5.4122257406471e-54,2.42722259959409e-54,2.19958278506223e-54,7.39863129173077e-54,2.71769222489613e-54,2.85591246808578e-54,2.13132869142142e-53,1.80225384255834e-54,5.35238182549986e-54,4.30100268716869e-37,1.88945012764058e-54,1.15871567386156e-22,1330738563715.27,8.35995889858457e+41,5.24888642640419e+54,2.01972963379333e+61,1.84975980273105e-54,2.24530019443398e-54,24,300
