"A","B","C","D","E","F","G","H","I","J","sim","n"
-34.5168966125013,-36.5815647127419,-35.9276954485623,-33.7942414978741,-34.6375506860774,-33.3889253267003,-33.8076393206579,-33.7119492671379,-29.0984063396595,-14.0923722722127,1,100
-33.9484117414372,-33.5005174589784,-32.9777029744029,-33.8493894897953,-33.4006497116366,-27.9186503735976,-29.3324137524072,-31.9137156871688,-25.2334552661049,-22.0691955533619,2,100
-35.4930529909726,-34.8207823834857,-30.4467928560923,-34.7414900800261,-35.2523511884534,-32.9894939697074,-34.3913757081059,-27.0766882941056,-21.182488927749,-20.8901680636279,3,100
-35.6937801926344,-35.3968108499506,-34.2648901372842,-35.2473087699246,-32.2571603310205,-31.4099765833782,-33.6690809835903,-30.5261085526016,-22.6990964895745,3.88521696407147,4,100
-36.3370083620363,-35.6249816421846,-33.8107007664876,-36.0199704990997,-34.7088015986629,-35.1042137369941,-32.0308233931745,-34.4028166109052,-17.0743192800983,-13.5468001661474,5,100
-35.7327986780754,-35.7219458354307,-34.8502726706197,-35.3542621631086,-35.5888708600115,-31.7788620620145,-35.2277427746642,-33.1349772285264,-24.7432289862349,-0.786177071847789,6,100
-34.4943111637959,-35.4922888946645,-35.4789415130815,-35.3139516682002,-34.8691832515851,-32.2979941776306,-34.193921942323,-31.2488961682308,-19.6582253304584,-0.543035999300656,7,100
-35.4743798790552,-29.8844503410764,-35.2197256828124,-31.6336536020331,-33.0486923924183,-35.4369353756381,-33.0413896919434,-21.7038233359959,-29.4322238544129,-15.9182917917018,8,100
-34.6554643429899,-34.198364738037,-34.5632019063145,-34.9733409820194,-34.0382507681737,-31.4011797111469,-29.8644537007511,-28.2212339252271,-22.6824567854616,-13.3354399791838,9,100
-35.6411842193245,-35.3906734592982,-34.1127206503024,-30.3847826089867,-35.0574517060233,-29.8217809466034,-33.0407921287996,-26.1883431424876,-23.422654243708,-8.82700975098081,10,100
-35.0673923404711,-35.1389703967392,-35.1412126452389,-35.1216648890121,-32.3389197922749,-32.8854095494043,-32.3726102700258,-28.2093112253638,-12.5810763647861,-15.2810633569745,11,100
