"A","B","C","D","E","F","G","H","I","J","sim","n"
-9.55115407902536,-7.59254567715315,4.35636925585025,14.6143911094428,46.9412054646432,72.0725274563057,125.525918581088,330.224572664185,646.869941325046,Inf,1,5000
-9.60352723080433,-5.57145223004105,5.74751525504954,26.4093224811388,31.7606585318149,105.8597225205,129.174385076388,282.330906328441,684.847258950956,Inf,2,5000
-9.57289240592905,-9.03632227504651,0.0129480261233919,26.6842995952705,51.2760523026349,65.996587500371,111.355969449237,313.903200066518,699.4025160288,Inf,3,5000
-8.18509239476763,-2.61380783529105,15.2107926566908,14.4712354753339,48.1181452089763,73.29408411138,120.83351744431,334.090496760476,618.358456882398,Inf,4,5000
-9.49350859168664,-5.22382463337837,3.49364963948969,23.7515110133068,45.7024526383003,88.7457358528934,106.276942265617,310.794666016327,Inf,Inf,5,5000
-8.00813850632336,-8.49499887805161,7.6846021980224,20.7271197495957,63.1357816049099,70.2095421129469,107.096425278305,296.822988490143,652.711460899658,Inf,6,5000
-9.43936053309126,-6.37138799342493,7.11873810795526,7.93880839252538,45.630148862912,78.1611908383772,135.981397641756,347.888740932749,688.840779738791,Inf,7,5000
-9.57922045317603,-7.17127907170401,3.14618026538925,16.4368666087904,56.8563477523557,76.8785007887523,113.636960257982,326.776165720139,621.782247746351,Inf,8,5000
-9.4144532708081,-7.71364318119634,3.97921067249168,14.1970210749014,34.78048180711,73.1686744479183,119.362969313529,342.720365186003,682.873859642501,Inf,9,5000
-9.63868802017653,-6.17390663810131,-3.02229466610077,28.8510239063161,43.1781112648623,73.430128950567,107.415257521374,358.323031169939,630.934725521233,Inf,10,5000
-9.94684845858671,-2.07958106290363,-1.28650885258066,27.8198707817637,46.8799466718505,69.5717947599762,101.095488525357,308.332406534076,627.799327024856,Inf,11,5000
-9.7168342590782,-9.06481807120711,3.54932195072665,22.8880843081671,51.2821191058468,62.3754237282606,105.245532819726,324.351789874426,693.884656085548,Inf,12,5000
-9.56000826593103,-3.44931262494398,-5.70515938471112,15.280125441414,40.7078036792223,66.6892737110315,115.115127123503,327.133936343984,653.284374565686,Inf,13,5000
-9.46514460372018,-9.04180939541363,4.01422229992937,21.799380684178,47.4914932027339,87.9576231844147,108.927814765922,318.114036034871,691.396285485232,Inf,14,5000
-9.68815859739127,-7.47185712113524,-1.73179009280416,21.318552302603,49.9414334504525,77.6148080848166,115.043183830441,291.289661678322,640.23069438808,Inf,15,5000
-9.06492385634764,-0.0910933096514364,4.08833137857846,19.2556808065509,40.7571529255905,55.3763611812888,130.517251123912,307.619332519102,626.808356698681,Inf,16,5000
-9.88218697034518,-5.84964192410728,3.84696777925879,15.8355605718571,23.2170166821835,66.1628900240323,120.701824443483,307.153407588515,704.680728363079,Inf,17,5000
-9.56777013780791,-8.65926123650577,6.22169695350998,32.2370341384099,47.1651707032442,69.8442141749056,130.31706965932,336.513659035681,652.730235868104,Inf,18,5000
-9.70726759106967,-7.87773575346456,4.22970858443517,22.4870687912458,38.2629650982175,77.3171483040432,136.183774444755,298.852553212414,665.83145825284,Inf,19,5000
-10.0898992489207,-8.0381443304648,2.98501994518891,15.3895187015056,50.5692153285004,72.9795293102611,116.615287989576,335.20541251541,647.532101764371,Inf,20,5000
-9.31250070836801,-4.01595287582508,5.64916303408424,11.4909395285318,27.3763386154427,72.7456003380611,131.508907162737,286.655763422344,Inf,Inf,21,5000
-8.78259824428175,-5.88399420750593,7.55960490485763,17.1499242912692,39.6113380242364,81.7694237500594,107.578372443834,287.213774222166,667.699443822177,Inf,22,5000
-9.31725205591309,-9.81980317739432,9.27405050103402,27.0548464203426,42.2020138800519,78.2315200520724,81.6166336248977,336.90776019334,703.483385611326,Inf,23,5000
-9.27116944888162,-3.91905758702751,10.8844208925952,4.28974859379884,40.6918348889244,83.719883334263,104.202066207903,292.333047592895,593.400047742482,Inf,24,5000
