"A","B","C","D","E","F","G","H","I","J","sim","n"
0.132342576888395,0.953642059895865,0.18771284504089,0.507335629035004,0.000797011562194848,0.000822641375152718,0.00456091974445481,5.28806124352116e-11,2.56366918542154e-13,1.17507799706175e-25,1,250
0.852827452734211,0.0911428026302471,0.715590661436533,0.061316146632882,0.0226446966044594,1.73509226855467e-05,0.000164308801619454,1.61896448261838e-06,1.31946190671146e-14,2.77891076161802e-26,2,250
0.738321403026429,0.294807107133542,0.503545975335833,0.0267566179532781,0.00671668557477319,0.0247958627041146,3.36143467342213e-05,8.06708663972131e-11,1.46788956303164e-17,1.46972663232034e-23,3,250
0.747338019683157,0.507126321573089,0.221710976000813,0.417043969394388,0.00431129500939781,0.0123604638456811,0.00252620939063887,7.47853604886711e-08,2.39460497790931e-14,2.75869176528564e-26,4,250
0.82574435317576,0.464778864886422,0.203002889141072,0.26228865729116,0.254603750465549,1.02886055265425e-06,0.00426213359262121,3.99037247960399e-05,1.77853967953239e-24,8.19784173679082e-30,5,250
0.474614447489102,0.16303678688041,0.00846377341838007,0.0437715980188116,0.159770201970257,0.0570421650167571,0.0975665733278464,2.30754664140397e-07,7.85739713713812e-17,2.05764108885278e-26,6,250
0.553133690766595,0.917451241320122,0.245752900493226,0.149891020193778,0.00100220615022854,0.423038188331895,7.36813261560326e-08,6.41746637448149e-15,1.64479853248017e-09,1.34652123709279e-21,7,250
0.419984603086062,0.709140348925932,0.947372463164511,0.123796088647531,0.129756222202987,0.10875472647526,1.55134081866209e-07,8.0616025765651e-16,2.11162816919215e-11,1.59057796508525e-20,8,250
0.87385159145858,0.742469136696408,0.798940496920139,0.143644623497115,0.0034545822867517,0.00316236571146629,0.000463566837469004,3.73219110320518e-09,4.84073718880098e-17,1.03189009996459e-22,9,250
0.906702220224432,0.576039898775408,0.0544759988367006,0.228259446976858,0.0134859360342354,0.0163402609229182,0.000270348180493647,7.60855772281073e-11,6.11715913667955e-10,2.35921066200595e-23,10,250
0.962134525146982,0.0560395978046106,0.272042687719394,0.0282390721114598,0.000189176588828242,3.76218798621226e-05,1.3856209627518e-08,1.50775498285986e-07,1.36449139743072e-17,5.21221221069921e-28,11,250
0.259012517775472,0.524281417450261,0.865354094072236,0.842510273906638,0.076301028193061,0.00923953313108556,1.31500040835939e-05,1.64012627638899e-10,3.57034778329033e-16,1.84023973138707e-21,12,250
0.306695385221501,0.00561493085735031,0.012767503410556,0.0787304060789617,0.00348636586774919,0.158998385274142,0.00185232322129141,9.63754227634164e-08,1.73764936480997e-10,1.47005786357012e-27,13,250
0.418416686742259,0.227065548050005,0.00371097985039804,0.284190888610628,0.0195014306028472,0.00716670805049598,0.0090331964263296,7.86151503527402e-07,3.10354494862179e-19,2.9880209084587e-22,14,250
0.157697886757948,0.22497749260648,0.0637994386898639,0.00237599119324245,0.000314567490569285,0.0150787043261905,0.00376098920179067,2.25798722417524e-07,1.07333726187601e-10,7.73680976340063e-26,15,250
