"A","B","C","D","E","F","G","H","I","J","sim","n"
-1.73501801044754,-1.72417134014716,-1.60676937327113,-1.13710946665922,-0.859404730365553,-0.286786987546295,0.359126175790119,4.16797055595443,11.108883201452,19.0746030730639,50.5,100
-2.29001554417275,-2.02467799402519,-1.80139458179611,-0.696167236582233,0.896340260747822,1.91597834826629,3.51780435304241,12.4916282542834,29.2661082352348,50.5813029346688,50.5,250
-2.48123519945585,-2.24608167123324,-1.54836307847983,0.508736457066016,2.28509573924877,6.00268705556394,10.1952229026398,28.9818272675222,65.6588717119369,106.065053812852,50.5,500
-2.82599348347874,-2.09230899486722,-0.803226098657087,2.17437102943226,4.87691457118182,9.72060278443314,13.9188172958284,46.0642375833836,96.53867757778,159.034511798768,50.5,750
-2.82372347839924,-2.29689706281451,-0.0591532962949213,2.97262705247455,8.02676866109748,13.9167437398418,21.9020590048437,61.2240815493922,129.738867122722,216.391188261534,50.5,1000
-3.11216262439746,-2.27120155318231,1.2778075551021,5.64342756706977,12.8681633224315,22.3547994355789,31.8791784540285,93.1816161700752,196.903744290161,323.137906879099,50.5,1500
-3.28725226998785,-1.7611377980567,1.86778311774295,10.0256093354779,17.6364479484147,31.2227813163057,43.5610412670676,125.486514857217,264.242251018784,434.610898380992,50.5,2000
-3.30129536334578,-1.62911246884316,3.60710371317033,11.9675412789545,24.0537052110972,37.6456746382003,56.2430980162221,156.064927370602,338.257010578509,542.935001657928,50.5,2500
-3.85320427627092,-0.497836566714286,9.46892400760731,26.2758551536723,50.431324501594,80.5410035771538,116.980379436777,319.10801050667,669.014258506026,1094.33903860208,50.5,5000
-4.11141120901288,2.69288364575114,23.8008108289873,55.8319713734982,104.046618118588,164.820697385,234.153708043372,641.416709933554,1350.65688800359,2187.33995698371,50.5,10000
