"A","B","C","D","E","F","G","H","I","J","sim","n"
-9.59493085599334,-9.59493556146261,-9.53010867217684,-9.04445755798538,-8.72330760609189,-8.12558655723708,-7.42735441429889,-3.32926997335208,4.07781575197875,12.5103167536174,50.5,100
-9.43662653973611,-9.21910520143572,-8.98353767194872,-7.82173526238222,-6.20412524788686,-5.25531701541594,-3.51520072725276,5.6807469361976,23.0035669323989,44.601931705343,50.5,250
-9.25903215039607,-9.08261702828523,-8.32683547625344,-6.21335544773061,-4.45287884406596,-0.626144501466134,3.57651191891048,22.7161322543891,59.7520111810732,100.598060681289,50.5,500
-9.40207115851843,-8.62684430940186,-7.30106647914418,-4.43594695605759,-1.65377428464996,3.3338748666023,7.48546869170862,39.9652536070224,90.9220884511032,153.802021494092,50.5,750
-9.2379181387177,-8.67592660906245,-6.47269602703215,-3.36286019689774,1.67955114820331,7.65004438517348,15.6343971057062,55.2649152457676,124.189760296727,211.250835057366,50.5,1000
-9.2610155445542,-8.45286504070235,-4.87208329675604,-0.491685821361855,6.75085058973255,16.3667570044974,25.9331738162618,87.5034014843692,191.627648072072,318.285522750795,50.5,1500
-9.3008185874407,-7.85711676119467,-4.23035596368216,4.07162827682571,11.6798317845272,25.2801429879272,37.7577435671875,119.937014202698,259.093657934865,429.885898486261,50.5,2000
-9.24293457632803,-7.54085591341374,-2.26626302236829,6.07776910419062,18.206803502284,31.7359467503403,50.4618554169591,150.569358523464,333.262558369647,538.365374283705,50.5,2500
-9.39182406693543,-6.12502638327414,3.91688713827553,20.8167511715576,44.9409195032169,75.0920385583441,111.573910233199,313.990708739104,Inf,Inf,50.5,5000
-9.33225872003438,-2.5708158001849,18.619501340558,50.6512590240362,98.8929315416873,159.747556062461,229.12416981102,Inf,Inf,Inf,50.5,10000
