"A","B","C","D","E","F","G","H","I","J","sim","n"
0.474309842072273,0.484692160983501,0.459041737653248,0.332883523044627,0.257603739450287,0.206853385994351,0.132499661909355,0.0227655549191621,0.000193471512538866,1.4410621159649e-06,50.5,100
0.494311464568506,0.413650819766483,0.356445490516574,0.185475321304298,0.0496163644696885,0.0451993641021571,0.0142022358777087,0.00014651235718152,5.2142257492748e-09,2.90506440442261e-19,50.5,250
0.453550803509528,0.398816673155335,0.248484472038438,0.102251297705237,0.0166155331903763,0.00193098278054662,0.000351610059440234,7.35713663052614e-09,2.75221448962803e-19,8.72903926170404e-36,50.5,500
0.477398650929027,0.313545524111473,0.140063205167637,0.027658046985198,0.00430972214308595,0.000263074732066606,2.22086687353623e-05,1.80505849873824e-12,7.93928481092779e-34,5.95912934289759e-57,50.5,750
0.496808686735454,0.316550848482326,0.0979251386078669,0.0101310069808483,0.000956157904263687,9.69747628652739e-05,2.82497037119776e-07,2.50908892815964e-22,2.62637370409995e-42,6.05844295333548e-84,50.5,1000
0.471025905193638,0.26100416632601,0.0440320906489829,0.00210296256895725,8.15137938717564e-06,4.02725166716588e-08,3.65213776477845e-12,8.13509505825977e-33,3.31087362411667e-73,4.20232250621495e-124,50.5,1500
0.488562737467146,0.208193693579324,0.0181445977387256,0.000321715621727133,2.98877136414606e-06,1.87595155227686e-11,1.83387869209631e-15,5.58050359213941e-47,2.60483566777412e-101,3.97932347015424e-157,50.5,2000
0.479236759571119,0.191548980331447,0.0140910720024044,4.12822442944891e-05,1.54771443402806e-09,6.05675039568517e-14,1.89918444084104e-16,9.88559102773426e-58,1.15910235165562e-119,4.59996122181694e-214,50.5,2500
0.536455139125674,0.0779238574422967,0.000160390884482536,5.47360379456927e-09,1.07819402008739e-14,2.87247597521087e-31,1.25213779164954e-41,6.26320550382386e-123,1.56147650160607e-254,0,50.5,5000
0.492117437892364,0.00870857988483422,7.59736553399237e-10,8.01563615818093e-21,5.43637868802004e-34,1.01130702473719e-58,1.32719585801428e-83,2.38413634025507e-249,0,0,50.5,10000
