"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
3.34713435077454e-35,6.77658263021222e-34,2.05824346286281e-35,3.6180914492604e-35,4.19574537216529e-34,2.32671655938581e-35,1.53354413399386e-35,2.39930058719517e-35,1.80372365400875e-35,3.43181193650073e-35,2.78149977347132e-35,4.53424836798317e-35,5.8563909077671e-31,3.87727648435292e-35,5.81456657552943e-29,1.59085861791265e-10,226285.48415571,2618312887.66287,1.57571473666508e+21,1.62533582418917e-35,7.08269783659422e-35,1,750
1.22095702995721e-37,2.2270805226283e-35,1.36212405184142e-37,1.13764838112158e-37,1.68133247769741e-37,1.29661270326316e-37,6.98568957935631e-37,1.33176485249939e-37,1.58696383258221e-37,4.98523539619721e-37,1.87243727320409e-37,1.80426448294807e-37,8.91828394622928e-35,1.76633094871733e-37,1.6684633208045e-29,4.68563152294828e-15,0.00161537847617166,9904.64068699522,2273720775.61981,1.11625429148448e-37,1.73575494982139e-37,2,750
6.23423762740565e-40,6.3953941429864e-39,4.68126603219316e-40,5.43014147213563e-40,3.71447206241145e-40,3.89667031287457e-40,3.78450533983369e-40,6.28230223412523e-40,4.96727279178355e-40,6.67049481851199e-40,3.6739517942462e-40,6.11360352173981e-40,8.68343376281814e-37,3.80646686845639e-40,3.34773005763793e-36,1.2545561375179e-23,0.000544764822416306,0.12743873895355,1710223755144011776,3.81363547282363e-40,4.98168120852718e-40,3,750
1.4025395107298e-39,1.63186815848462e-36,1.27705907029766e-39,1.20835573348248e-39,1.38554639902883e-39,1.23607547758058e-39,2.34265419952567e-39,1.45933826999717e-39,1.26097421614736e-39,1.28864875813288e-39,1.36766524044457e-39,1.70802620837735e-39,9.82786840197494e-34,3.40247774416129e-39,1.54607063340507e-34,5.74915334020155e-12,2.92281540324028,22793.0957790025,466009262085.436,1.67708808846874e-39,2.19201326338119e-39,4,750
5.19866559708804e-40,1.15231110118771e-39,3.34945925577335e-40,2.13857526275994e-40,1.9605218756897e-40,2.05480370162627e-40,2.2706488389236e-40,2.16229832953612e-40,2.96767618630402e-40,2.9862389692925e-40,2.47338551757482e-40,1.96141374382412e-40,3.46726573270359e-36,1.96673799739884e-40,8.08754799199749e-29,1.43858245470651e-14,0.000137295742736267,353421476432.027,170695094801495,3.25099925672517e-40,5.36139092678778e-40,5,750
2.87664260873644e-39,2.72566147768594e-35,1.50995162125193e-39,1.00865446814962e-39,1.23538228702789e-39,1.04865307987489e-39,1.84978261700865e-39,2.54995023029319e-39,1.0720887445608e-39,1.05633305396555e-39,2.9570087419037e-39,1.00796398405227e-39,8.19129982519926e-34,3.95727244790509e-39,7.91405501839606e-33,6.47043416745978e-21,176.765285129697,775.883987432706,5043102.32995533,1.40080603436527e-39,1.04004504235428e-39,6,750
4.07995391608159e-36,2.00324131782121e-32,5.12028923601191e-37,5.34682583949247e-37,6.65291407039653e-37,1.0857309413487e-36,4.07815602006849e-36,1.11014910136204e-35,5.67779312350203e-37,1.81600933871877e-36,5.19411486577155e-37,5.20908416474857e-37,5.00377068519016e-32,1.6338620338069e-36,3.63924835592878e-24,7.32669874243312e-14,159568.958761387,0.926665899374457,2.15069605897346e+28,6.39949085195881e-37,2.96527513169996e-36,7,750
2.53588843030466e-37,6.67948890948557e-35,1.72462328942361e-36,1.07451050421753e-36,4.32458492027611e-37,3.11404551351983e-37,3.00938598633623e-37,3.40142141668109e-37,2.13625101057978e-37,2.12906827124865e-37,2.86759473217524e-37,3.44483458258925e-37,3.06529890055381e-32,3.7124114584148e-37,4.3411220777035e-30,5.90326523773989e-15,0.0930604388576561,707383.348744184,83113631778163.5,2.78681416227233e-37,2.17716995463837e-37,8,750
8.71730362199296e-36,1.51766315835963e-34,6.42150100732502e-36,7.43711593536918e-36,1.47081978783172e-35,5.55878899578518e-36,9.33758704540221e-36,7.31018025269715e-36,5.41865864784127e-36,7.65057863962296e-36,4.34520471969235e-35,7.37903176396119e-36,1.96145542649628e-33,7.71611250576033e-36,2.49811745854619e-25,2.57807679819863e-11,5.2368805712369e-05,12099687.0661876,75836305409601.9,2.87766420005594e-35,1.14140666648172e-35,9,750
4.2554400645395e-38,8.2679358210231e-35,4.29315782442768e-38,4.23616180641427e-38,7.92339007539192e-38,4.57931408140243e-38,4.85141561278434e-38,4.46965230191943e-38,2.78232284321974e-37,1.54428318474062e-37,1.1549474412065e-37,4.36271123709363e-38,3.42145977474636e-37,1.14866202946771e-37,1.46052777321638e-29,6.8198111646298e-14,1.69243814649155e-08,8016426477.64008,7.85193302284575e+21,5.42685584844918e-38,9.67729696644889e-38,10,750
