"A","B","C","D","E","F","G","H","I","J","sim","n"
-24.1320863537949,-24.609647627375,-24.7964853770878,-23.4657416228089,-24.9505860121463,-21.6465657926205,-23.8538453191001,-12.2513735770313,-6.66253144729546,11.035218372091,1,1000
-24.8629705817344,-21.1893572534187,-23.1320408036852,-24.4214330810992,-24.1941117546571,-19.5766575824086,-15.139389590678,-14.3531010298326,-2.57415005534443,10.3218527773911,2,1000
-24.0919753336337,-23.8251993470964,-23.7380384829919,-24.1107952902502,-20.441537410987,-24.1684319239204,-17.9316632099617,-15.840042882155,-3.48147857495951,-2.1924303799957,3,1000
-24.1182565561352,-22.399740320478,-23.8766767297161,-23.904075733226,-23.6053229088127,-22.7040012191405,-21.2412043450819,-7.93833757071343,-7.43606563918905,11.8211330796192,4,1000
-24.7893688170233,-25.0038263735195,-23.4911182836743,-24.9801246171548,-21.4460655142125,-17.8743800648654,-24.5772765845391,-18.7117078412526,-12.5609670708753,27.5435140477767,5,1000
-24.9234524866936,-24.6399962665465,-21.9555733512339,-24.8739650420672,-24.2715099768726,-20.7053329058158,-20.7084315158429,-16.4554537529158,-9.40157122489751,3.61571524624918,6,1000
-24.858573822337,-23.5222351333346,-24.9279684533125,-21.4814950300852,-24.4662000473966,-24.912361861604,-21.5053272439815,-14.046176333679,-5.64010236430596,6.44653461975622,7,1000
-24.5338177090446,-22.0778389936042,-23.4117522258081,-24.5265890888584,-24.8632571011121,-23.850102199441,-22.3257434776694,-14.3454308987372,-1.60805756953391,2.99952840380337,8,1000
-24.8053769513571,-23.5144952414431,-24.8133594655187,-24.8055843533143,-23.463863533468,-22.4505498320059,-22.4300646651274,-13.171733181855,-5.59397818384787,15.7968194079879,9,1000
-24.787221091968,-24.5825298865437,-24.4095676301072,-23.290022115462,-19.249347812573,-24.0929086631172,-22.860943932529,-20.3589962311956,-9.72503086879658,16.4370500049199,10,1000
-24.5939319604341,-24.3356515877159,-24.7393570311988,-23.3593985942514,-24.3240700037561,-20.3103456519242,-21.9188065463549,-13.1955701808484,-3.6628121635448,10.4604205553734,11,1000
-24.6396794370942,-23.5463473008576,-22.4723018399506,-24.4190164853351,-23.0739154515398,-21.3251790742345,-16.0904645305722,-20.2205802093166,-5.38231956847522,-5.77876660535696,12,1000
-25.2555353018269,-25.2005622221347,-22.4227235068927,-24.6417040779818,-22.0259420433005,-20.6162426409676,-22.4560044868412,-16.4197023034013,-16.9066751348523,4.57396546167388,13,1000
-24.2453373134722,-24.3477415329998,-24.3166620901987,-25.0936380506512,-23.9425433553212,-23.0344187710182,-22.0431530563755,-21.5895437436914,8.25470215714546,18.434096189132,14,1000
