"A","B","C","D","E","F","G","H","I","J","sim","n"
-8.96990695718382,-10.1667174502971,-9.75441004803953,-11.9914695279584,-6.9426962747956,-9.72077947052735,-7.46344508090599,-3.07488913935378,-2.24219499796981,-3.89488590526513,1,250
-9.55749111672173,-10.6542397969586,-10.4676293288908,-9.64210580772749,-7.93980967654108,-9.58750081192036,-7.39570226620773,-9.14419907848212,-9.34308694699808,-0.282587582109616,2,250
-10.4989610081129,-9.84160843533122,-9.62669094312199,-9.76984968328531,-8.22459056407805,-10.5120688837685,-8.98202308782364,-5.61500010496545,-5.16604421341831,5.12542608166858,3,250
-10.8128081038443,-9.83114071719659,-9.76624861397613,-9.82899218829358,-9.81403344398431,-9.31399357746996,-6.94356168345424,-5.04658620388037,-8.93909446920142,-3.77583691441175,4,250
-9.0673541091738,-10.1588103970246,-9.97729478536305,-10.2224124590904,-9.75980447889455,-8.21712167926177,-9.91198960761448,-4.07604267155084,-5.59414693369311,2.17052301678271,5,250
-10.164210100431,-9.74686647963455,-5.18958726046001,-9.66109030155581,-9.83072017691492,-7.64747899129805,-9.06748366380783,-5.7595454920013,-6.1700550517949,1.86675145762376,6,250
-9.70856343183112,-9.7485208863162,-9.95453579336257,-9.18215419195412,-9.79898474684906,-8.11327500311708,-9.10243564382018,-6.33537832189432,-6.91035267885879,-1.43348242967702,7,250
-9.75444117143626,-8.13071920019092,-9.97730241717367,-9.56471120187237,-8.00220741513532,-8.49635811064926,-10.5306728554508,-8.73326309615355,-8.95928291633233,3.59466067375513,8,250
-9.14326225014889,-9.65188396911127,-9.82921545029462,-10.1900108644135,-9.85265048358223,-10.7139134468341,-8.82697916890877,-7.31586499962856,-0.413060546431888,-0.833566969910354,9,250
-8.12782194470728,-9.3752963652181,-9.68659406475578,-5.68137535992394,-9.74830122190239,-8.93579157837079,-5.8017256562388,-7.34745288741726,-5.41135478822591,-1.05990487069687,10,250
-8.81953057283793,-9.72903310216299,-9.32853679814288,-10.1864399810358,-9.97530714632964,-9.98277725263782,-9.62452004996061,-5.39568154122709,-5.46125527436618,2.54582740671663,11,250
-9.25172852356879,-9.66308700595796,-9.76636843440184,-8.57166445057331,-9.77403387198959,-8.79296285901213,-4.1510120575294,-3.39513286503362,-7.57864481298744,-4.92296598274913,12,250
-9.85887622606172,-9.63595822765311,-10.199993891656,-9.69091172992136,-7.7262833514199,-9.39332374812155,-10.8449800034993,-10.2198960860965,-3.81980258665377,-2.14759292547394,13,250
-9.57608122022049,-9.2966079090234,-9.84846041753448,-8.60839207832922,-8.86652212465632,-7.01939059035032,-8.04262239817379,-6.63336849976033,-3.79003584482012,-3.89517507225877,14,250
-8.36583846085081,-9.8176279845256,-9.58143590564211,-9.17964489781364,-8.88584508566551,-8.43524666152417,-9.88336631145697,-8.43053267013413,3.62637111435937,2.28208318929818,15,250
-9.79320257261691,-10.5480096872112,-9.60835109084036,-9.74660770200571,-9.9273377369184,-9.61157281367931,-7.59138885330985,-9.65634311899001,-2.38700726845851,-3.19554260317633,16,250
-9.77892785225732,-9.34930843279854,-9.87756216679403,-9.31323801034171,-10.5193323758855,-9.78370268789739,-8.67816934855078,-6.98905127145864,-0.366675985632095,-4.02645935761468,17,250
-9.99461134431472,-9.9974549830563,-10.0410833231574,-7.72610132634405,-10.6490689512126,-6.7292369051398,-9.60795562253296,-7.6237353708993,-8.17306894387506,-4.2198669732322,18,250
-9.6597522043195,-9.79250255706976,-10.4220375719662,-9.55918349453873,-9.83080604148198,-9.90774726576679,-9.64791187147486,-4.77139870416367,-3.37473487461128,-0.829428509434202,19,250
-10.513540417781,-9.87244401704747,-9.99958071170821,-9.84755943470878,-9.99503904589408,-8.24568049722409,-11.670018793363,-5.73897963952373,-4.84782606349525,4.39742613741036,20,250
-11.6023796402833,-8.63256605181297,-9.00110717464322,-10.4955914355341,-9.85008364897438,-6.42714351464823,-10.171052575849,-6.8073883226806,-9.1639452316082,-4.5798698082333,21,250
-9.60297476302813,-10.4779548634614,-10.5255972063898,-9.32520529572574,-9.12414013913178,-8.19735985121385,-9.60925285495877,-10.3444103384687,3.41660221529344,-5.89101244901933,22,250
-10.8611350603629,-10.3246379863753,-9.6816998260418,-8.41137072331536,-9.39834049204577,-9.51601967695802,-9.34543472178356,-9.31353066105339,2.09491234607488,-2.67051750992184,23,250
-10.513206773663,-9.31766551141549,-9.54547830973863,-6.42796345826596,-9.01800985539087,-9.33863425637679,-8.28867183656455,-6.97005890729159,-6.37919138572771,-5.95856562466937,24,250
-9.81508217795409,-9.95993718493253,-10.4832089354237,-10.2612968694234,-9.11884081664035,-9.59971430845162,-9.4371262717958,-7.48620197403485,-1.57373220214315,-2.55236384356471,25,250
-10.524449588701,-10.0425954932971,-9.62539831124476,-8.05551253245413,-8.43983621138337,-9.39951225553282,-10.9080332688671,-8.22675313080136,-0.294727924933636,-5.94788831575469,26,250
-9.67924065065588,-8.64890469710934,-9.8806734114771,-8.92206035175805,-9.68670298955866,-8.48988067132741,-9.58711450813348,-10.9747142527726,-1.30305906643985,1.25772574560046,27,250
-9.8050297314622,-8.40384414522667,-10.3680392114827,-9.667643771008,-9.56481079328243,-7.91305428862429,-9.3485411258919,-9.20768017477957,-6.87962419017251,3.05742895928198,28,250
-9.68803473995839,-9.93283406364052,-9.42926645266389,-8.94971824257761,-10.0278884714654,-5.39542571055981,-10.3012572096635,-8.81698464985754,-3.93464102274971,3.41456730209582,29,250
-8.76825088123508,-9.63870271401434,-9.7523510126823,-9.91124056584997,-9.7798992203432,-7.27800883370128,-8.1839892535564,-8.43337884230539,-8.29909599750417,-1.76293935722304,30,250
-9.08454194986748,-9.80451086109064,-10.3561507195776,-11.1234357347627,-9.14480879063453,-8.64087890011234,-9.02492980656005,-2.25591372578552,-2.7860430721101,-2.8886422369058,31,250
-8.9738459326751,-9.51604645165339,-9.39621766146482,-9.22270024647598,-9.83593931185465,-9.62709641676322,-8.85834133298762,-7.76183138465789,-6.01029915718182,-5.0207801869986,32,250
-10.2210820916355,-9.00548960824987,-9.70513086910851,-9.59605119776462,-9.56123066996197,-8.07555752071421,-9.00720066334023,-8.16422685693478,-6.04283842961738,-2.99581327650937,33,250
-9.74386614269384,-9.80229869683723,-6.94599820525033,-8.47351009311163,-10.0901781240453,-10.463305754258,-9.31518413198436,-9.14125525096947,-5.18115543146636,-7.99596521651135,34,250
-5.08758959866117,-8.3621517072576,-8.44312022125534,-9.83336213588773,-9.76586941580011,-8.61693133140793,-9.41864482830274,-6.0810184231369,-8.85458737292202,-5.15701765879909,35,250
-7.65067755529172,-9.50722039929575,-8.59074330158512,-10.1359954912477,-9.62014170859138,-9.5829427577078,-6.83670115710188,-9.43711821373175,-2.3117856148801,3.28495001043977,36,250
-7.60434204458917,-9.47725269734262,-9.41658188432613,-8.51111195288647,-8.78348608498866,-6.34459697902061,-9.7886319558306,-6.71028486395579,-4.04878170512161,-2.26230020581966,37,250
-9.01962482752364,-10.3211565642303,-4.54285466017879,-7.30899925030319,-9.70469267553983,-8.7104287735225,-9.61626112614345,-8.67613030383579,-4.45214458642411,-5.89742347478939,38,250
-9.60685099821918,-9.50428627053896,-9.81209517319352,-9.36598873140027,-10.2808673691377,-9.50611629019619,-10.214034770667,-6.19532906327662,-6.63539626055226,-4.75715484037118,39,250
-9.04018543017125,-9.7189500249148,-9.53740158654794,-9.77771077749464,-9.30386860619317,-9.67930920202351,-9.48399486693707,-5.94030129012793,-5.24738248171569,-6.29325431397439,40,250
-9.76369035785844,-8.34307422862054,-9.10041589060171,-9.67157720913148,-9.92829112616131,-9.76012949641187,-9.28065587814297,-7.31864006068035,-4.3742885084125,-6.68810762592164,41,250
-9.97615909439783,-9.77124756659931,-9.63776982326174,-9.58367569942606,-10.1481059600765,-10.5605882089546,-8.09237353286712,-7.6363555240117,-6.28738156077935,-1.53264660616474,42,250
-9.60281083037289,-9.39569759715722,-10.1149272990245,-8.32289012828285,-8.06999655810838,-8.3581836412155,-7.26305171949574,-9.11159724417248,-5.44951222302891,-7.61702269682076,43,250
-8.81252348011268,-10.3629376922084,-9.58700497609703,-8.48849167920101,-9.96660907280645,-8.15249691146095,-8.92214220905839,-7.79171154864051,-1.96186202811418,-0.557457116473998,44,250
-10.1966416180585,-9.90274240493522,-7.15014830728895,-8.39078695065261,-9.32109820644412,-9.38935033500442,-9.2342843621792,-7.61745972187343,-5.9115085421567,-7.22539229964589,45,250
-9.34825027910735,-10.0905368483143,-10.4335131238924,-9.09402697872034,-7.21877342588126,-8.67022887246271,-10.1708232332797,-5.58010399908598,-6.7379792102954,-1.83927998198609,46,250
-9.91936490898328,-11.0898362292595,-9.63189233744924,-9.76384213380527,-9.20847431551505,-7.79374676114669,-6.4814080672329,-4.08110788047729,-1.88074238464883,9.45952250023415,47,250
-9.92052823696987,-8.40914077312235,-6.09987323305367,-9.67557245324705,-10.0281513651881,-9.84387452564554,-5.19273873876241,-3.39443316403963,-3.61098369275385,3.99899497945082,48,250
-9.47084588775982,-10.12978201164,-9.91653036676998,-10.0269111354145,-10.0043335146544,-8.26839821223996,-9.09726925720923,-9.15900018058584,-7.04498140186233,-3.63801453291247,49,250
-9.99817357708514,-8.89464333161765,-8.71888229458546,-9.04306426381416,-9.81002793158405,-9.42017274128009,-9.87959637386312,-9.28565339024435,-5.49784512345793,-1.77804528042232,50,250
-13.255656721791,-8.06941243551178,-9.7495334513358,-10.0771320879218,-9.22584765054131,-7.50567926051987,-9.58612937848587,-9.24637699678673,-5.71815739030887,-1.07959096615646,51,250
-8.70491557900455,-8.19179876759639,-10.0354581643064,-9.45531122897123,-7.96493169987797,-8.16479215059161,-9.27646018674359,-4.76351472500834,-8.70871054469419,2.3584453987358,52,250
-9.71913635658626,-10.1536744350158,-8.26779987183207,-9.37636154885965,-9.00324157743961,-9.41049404438843,-8.55990651749639,-8.74326666330341,-8.31067263355752,0.282166970588424,53,250
-9.71335214074732,-9.68518491506815,-12.5339602348262,-9.59420438538861,-9.19052296951356,-9.23690618830889,-6.86952196818269,-8.25442246396002,-9.91821690026358,-2.31072242326557,54,250
-10.0443412801575,-10.6590312998805,-9.44505048069614,-9.14650902478886,-9.31051410206917,-9.12413873181744,-8.80702969785536,-9.71640956252833,-7.81209139228995,-2.01719853485745,55,250
-9.4568213566628,-8.07858231129482,-10.3621319107308,-6.58817089802048,-9.93725051380546,-10.4464349122164,-8.75514261984766,-7.91016724190828,-8.12076747192518,-5.88775642834745,56,250
-9.30630670325259,-10.0145015347952,-9.93261785970906,-7.42137128995314,-9.80541675383656,-9.98027731817818,-8.56020731378994,-3.82060692995381,-7.16992370935777,-5.10744166131635,57,250
-9.7733951011476,-9.75283885694412,-8.94908522312753,-10.1822619020069,-10.0204890889862,-9.06614289070705,-9.51348332083217,-9.01565019534286,-1.0195602251236,2.44070361889763,58,250
-9.02920358926121,-9.77818123322046,-9.76029001154463,-8.57565241460464,-9.71361391774174,-9.65012689317741,-9.09732490770635,-5.77343526241146,-7.47660212547412,7.01122698284503,59,250
