"A","B","C","D","E","F","G","H","I","J","sim","n","type"
-16.1757290191646,-16.2513964148556,-16.2117951928899,-15.9468471497348,-16.0658553901587,-15.8710692864676,-15.7341814065899,-14.3184435228175,-11.5997343190142,-8.41289985288366,50.5,100,"mixt"
-21.1852256788804,-21.1522250176385,-20.9332422284579,-20.7901406348088,-20.0569366205016,-19.7795456886333,-19.1361742679616,-15.9085473192772,-9.2428464574681,-0.330419356920993,50.5,250,"mixt"
-24.9800370606639,-25.0127658719617,-24.6584034731112,-24.2266061780448,-22.6931636609481,-22.0746134535938,-20.9867805682219,-13.8997303282536,-0.17124064770591,15.2131784172613,50.5,500,"mixt"
-27.2589683212481,-26.9099409852944,-26.5728666538813,-25.625247572688,-24.8881176446756,-23.4539058723025,-20.8809131952887,-11.3679948517771,8.37707815143153,33.7329088628356,50.5,750,"mixt"
-28.6532876038962,-28.5571872933047,-27.738672919797,-26.7844769412182,-24.781486099152,-23.3900159451686,-21.194078945326,-6.48950678036081,19.8999480614852,51.0721965687273,50.5,1000,"mixt"
-31.0599097716964,-30.6290670363013,-29.7171799833914,-28.0842615430791,-25.8165465560715,-22.5213015260471,-18.6455480157553,2.28342101604999,39.992927712754,92.0485469066004,50.5,1500,"mixt"
-32.7061281631605,-32.2697263212688,-30.4843123267944,-28.7132170182475,-25.2821822063668,-21.2985893414774,-16.2018737527056,12.4823919566202,63.6464523237762,131.667574221909,50.5,2000,"mixt"
-33.7884689551963,-33.2173338660371,-31.6330325308423,-28.6241685067472,-25.2856463081658,-20.7114549233503,-13.0375288622423,21.4569678392462,88.5516060284376,174.700924145865,50.5,2500,"mixt"
-37.611170399714,-36.7996280283675,-33.0186676515701,-27.5232291774185,-19.1835149860185,-8.82005813911002,2.26782337335108,72.7936402466144,202.620811694297,375.420941165814,50.5,5000,"mixt"
-41.5123028501141,-39.013414782621,-32.5334351600851,-21.1957437390921,-5.29299902187931,17.3292848274176,37.8109060886369,177.161554816258,440.841226169659,784.595347967516,50.5,10000,"mixt"
-9.83984403573094,-9.70912809936593,-9.79356898212603,-9.43587423095256,-9.65723776889979,-9.39609004613238,-9.20760836923736,-7.90211928689236,-5.1002719843986,-1.77960046253831,50.5,100,"soft"
-9.39618177643136,-9.57994657480216,-9.25525449997874,-9.02171470610487,-8.37125685527215,-8.16988409742502,-7.38338255287731,-4.09797923455533,2.47923189591873,11.4295929417844,50.5,250,"soft"
-9.37329334188278,-9.32947279578905,-9.1116738733177,-8.6335506319354,-7.11220890467684,-6.51641859697145,-5.39695164973268,1.68838075705329,15.4146463838612,30.7606351011478,50.5,500,"soft"
-9.37085593276865,-8.95089392958523,-8.77855574133023,-7.85814516453397,-7.0503883596214,-5.59534087641884,-3.01293015695579,6.48374318227714,26.2565825190219,51.6073932815637,50.5,750,"soft"
-9.24597252120974,-9.15509428824713,-8.35851926588194,-7.37534957115291,-5.342263444237,-3.92493659160907,-1.77676010532191,12.984845683002,39.3391982328969,70.4516419641563,50.5,1000,"soft"
-9.41889572253105,-8.96844379463658,-8.01434780639131,-6.38840850885694,-4.19843642427264,-0.938591054670358,2.96859125219912,24.0242928752626,61.7022865860642,113.716147110281,50.5,1500,"soft"
-9.43766617964552,-9.02925886842693,-7.30337301557586,-5.39223911451152,-1.97404680820987,2.01094320723549,6.97800364910844,35.7562202573753,86.9518919781432,154.909008876299,50.5,2000,"soft"
-9.31441516032589,-8.70683846046777,-7.19314964656093,-4.13066785076,-0.7622493009837,3.77406612294735,11.4664339181239,46.0014770108107,112.971437767323,199.247389110269,50.5,2500,"soft"
-9.21577472773992,-8.4756721587206,-4.68860932769185,0.803440803056943,9.147064693415,19.5279991807226,30.6151986715623,101.083014629483,230.958022487924,403.768825412389,50.5,5000,"soft"
-9.3382496550928,-6.93347749932307,-0.350298842191116,10.9771135819501,26.8948305746375,49.5150082026687,69.8546038917635,209.336135790149,473.009485109956,Inf,50.5,10000,"soft"
-0.645480468401251,-0.72896172397145,-0.698640514865126,-0.429352915563829,-0.540879057594289,-0.328255577522581,-0.228119156325549,1.17846500284809,3.88566344551996,7.13324386319344,50.5,100,"bf"
-1.33228074707756,-1.29028449553486,-1.07241260686885,-0.928906913732422,-0.195800683345776,0.0890082569046479,0.728316431116396,3.98387633758373,10.721703844332,19.7736741467925,50.5,250,"bf"
-1.72227676240096,-1.75176588211833,-1.3989505607095,-0.961849763453869,0.57565126371759,1.19645424047846,2.29310931784703,9.42380919186128,23.2560941691224,38.7913430611531,50.5,500,"bf"
-1.95868248422821,-1.60996074131454,-1.27030991983384,-0.321086366897849,0.419633406637774,1.85684592706458,4.44345764761261,13.9960546121408,33.8534838305903,59.3735983021983,50.5,750,"bf"
-1.92390085294362,-1.82589711364037,-1.0054919338895,-0.0494011936083609,1.95973983308712,3.3534811938335,5.5574528032508,20.3103821779684,46.8087492802853,78.1416186472223,50.5,1000,"bf"
-2.32169846593104,-1.88990057794058,-0.976791596391445,0.659371476227488,2.93229826463028,6.23164828581838,10.1167896336347,31.096727823271,68.9170575609684,121.153137767673,50.5,1500,"bf"
-2.52205984823096,-2.08603086880299,-0.298411424587423,1.47617056595845,4.91247457533767,8.9005511156224,14.0058827221811,42.7390755731364,94.0139419366803,162.217987550218,50.5,2000,"bf"
-2.50379226478037,-1.93293060318394,-0.345274225814089,2.66474489717961,6.00864213425337,10.5885576743274,18.273726781663,52.8162168085613,120.02629196989,206.364137897309,50.5,2500,"bf"
-2.85158743823399,-2.04022873838525,1.74421293736376,7.24189861059333,15.5882258997958,25.9569744636078,37.051891502163,107.628193105655,237.570231842557,410.560929020995,50.5,5000,"bf"
-3.29350657431453,-0.793981715731688,5.68797772081958,17.029009594666,32.9371275182995,55.5662239949693,76.0545663646567,215.45743797765,479.255371242674,823.199326295581,50.5,10000,"bf"
0.433420313472848,0.462470510938901,0.430000902426867,0.384241445029556,0.391903999436862,0.344633751466858,0.326863110676666,0.117155087455161,0.0484208022381922,0.00319060462727088,50.5,100,"pvalues"
0.483565884113068,0.474199933363669,0.394258759635913,0.342424950190198,0.25745112985251,0.241074042082,0.169848228464773,0.0103002370986221,0.000977232296946186,5.31492234956654e-07,50.5,250,"pvalues"
