"A","B","C","D","E","F","G","H","I","J","sim","n"
-0.645480468401251,-0.72896172397145,-0.698640514865126,-0.429352915563829,-0.540879057594289,-0.328255577522581,-0.228119156325549,1.17846500284809,3.88566344551996,7.13324386319344,50.5,100
-1.33228074707756,-1.29028449553486,-1.07241260686885,-0.928906913732422,-0.195800683345776,0.0890082569046479,0.728316431116396,3.98387633758373,10.721703844332,19.7736741467925,50.5,250
-1.72227676240096,-1.75176588211833,-1.3989505607095,-0.961849763453869,0.57565126371759,1.19645424047846,2.29310931784703,9.42380919186128,23.2560941691224,38.7913430611531,50.5,500
-1.95868248422821,-1.60996074131454,-1.27030991983384,-0.321086366897849,0.419633406637774,1.85684592706458,4.44345764761261,13.9960546121408,33.8534838305903,59.3735983021983,50.5,750
-1.92390085294362,-1.82589711364037,-1.0054919338895,-0.0494011936083609,1.95973983308712,3.3534811938335,5.5574528032508,20.3103821779684,46.8087492802853,78.1416186472223,50.5,1000
-2.32169846593104,-1.88990057794058,-0.976791596391445,0.659371476227488,2.93229826463028,6.23164828581838,10.1167896336347,31.096727823271,68.9170575609684,121.153137767673,50.5,1500
-2.52205984823096,-2.08603086880299,-0.298411424587423,1.47617056595845,4.91247457533767,8.9005511156224,14.0058827221811,42.7390755731364,94.0139419366803,162.217987550218,50.5,2000
-2.50379226478037,-1.93293060318394,-0.345274225814089,2.66474489717961,6.00864213425337,10.5885576743274,18.273726781663,52.8162168085613,120.02629196989,206.364137897309,50.5,2500
-2.85158743823399,-2.04022873838525,1.74421293736376,7.24189861059333,15.5882258997958,25.9569744636078,37.051891502163,107.628193105655,237.570231842557,410.560929020995,50.5,5000
-3.29350657431453,-0.793981715731688,5.68797772081958,17.029009594666,32.9371275182995,55.5662239949693,76.0545663646567,215.45743797765,479.255371242674,823.199326295581,50.5,10000
