"A","B","C","D","E","F","G","H","I","J","sim","n"
-12.7796187117858,-12.8184104908747,-12.6610363045452,-12.8376989901943,-12.7888032807389,-12.8324633131126,-12.4719416885044,-12.0842213355819,-10.6648850913117,-9.66421068886317,50.5,100
-17.1732880062035,-17.2497628495316,-17.1350230506533,-17.0689256040112,-16.8125393944936,-16.4996447995322,-16.3832624580181,-14.8575928005898,-12.1354510747399,-9.25974434391151,50.5,250
-20.6870790636807,-20.5942182752196,-20.5056163849062,-20.5045036420996,-19.8469288452603,-19.7161730233747,-18.9111105817227,-16.7016892211257,-11.0233572082973,-4.1263370095792,50.5,500
-22.9830316914573,-22.9195147059652,-22.7213965368764,-22.3952896993427,-22.1226211428722,-21.2449556764002,-20.1192232294789,-16.3956488432314,-8.73393448641196,1.84563681350513,50.5,750
-24.4894636504615,-24.3942703354177,-24.1493521187127,-23.4821258958435,-23.2153942150554,-22.5310469579633,-20.8901182778403,-15.9028630532887,-4.8654839917473,9.97838578241259,50.5,1000
-26.5964646448016,-26.6644296961961,-26.1280868185205,-25.2913986792931,-24.4497621316245,-23.4904105776764,-21.3690781880545,-13.3185970489882,2.1280073368841,24.1220583811746,50.5,1500
-28.3357145752767,-28.2011944575191,-27.5295096948948,-26.932386109052,-24.9562965012903,-23.8985729785368,-21.8825071356092,-11.2637102965859,9.61961464672246,40.6429213072462,50.5,2000
-29.4307410630295,-29.0130898217588,-28.6809542918521,-27.2645295466223,-25.6714165752283,-23.9056640392564,-21.5256588647995,-7.55128818177747,17.8350241039367,55.8061250942975,50.5,2500
-33.1578390676639,-32.777705259935,-31.4027518186959,-29.1950571625258,-26.1361412645073,-21.2853407749287,-18.0034719645496,10.6552328138982,64.1143484129328,136.74718002863,50.5,5000
-37.0635649164447,-36.1434585163977,-33.5793021691448,-29.0768548124407,-22.055004721714,-15.6130970800492,-4.6989363095105,50.7770547954052,157.773942110298,303.438999169573,50.5,10000
