"A","B","C","D","E","F","G","H","I","J","sim","n"
-10.0706267805165,-10.1534113973765,-10.3218201434161,-10.3393067358068,-10.3082599803047,-10.465947518757,-10.1147041668698,-9.6379663317126,-8.02935389348381,-6.92753764444031,50.5,100
-9.53093772422078,-9.59201981165002,-9.53087077259858,-9.39564420304227,-9.16789592172533,-8.83936587226665,-8.78016578368766,-7.22054949495108,-4.53046062162065,-1.56404679407576,50.5,250
-9.35897137407068,-9.27034697565426,-9.19217408464064,-9.32042046650551,-8.55955687415187,-8.4120620540055,-7.56285852098437,-5.39370816100614,0.22395219593566,7.14331454923721,50.5,500
-9.40832630641011,-9.36145215456584,-9.10769966278762,-8.9215531560479,-8.53719372947674,-7.7148449270423,-6.47943007413228,-2.81392125328947,4.85081359481959,15.4631195712326,50.5,750
-9.32731023185218,-9.22975313831574,-9.03944031390377,-8.35900145292172,-8.10719808008161,-7.36330872422472,-5.79400834722637,-0.86309724881066,10.2599896615613,24.9995880749931,50.5,1000
-9.21403788693345,-9.29818078908011,-8.85534443323195,-7.88227296171312,-7.12144961561568,-6.17092809587092,-3.98069506868626,3.96981972097659,19.4790356111136,41.4401492096417,50.5,1500
-9.36999390385613,-9.20548101765069,-8.56313716573946,-8.04948396762778,-6.02238200145451,-5.01114503419397,-2.91755473603406,7.7231968185184,28.4796979435848,59.5267916461611,50.5,2000
-9.35281651419388,-8.91494074188467,-8.54559939528645,-7.17910999234983,-5.55935111916691,-3.76662249682559,-1.34916738262303,12.5592662902258,38.0145985483555,76.0001644859708,50.5,2500
-9.2513394868539,-8.83592101614176,-7.41740171027865,-5.32811041714589,-2.15965465652757,2.69085907118241,5.94272192191496,34.5720042926966,88.0568689464838,160.630435882648,50.5,5000
-9.27321642264256,-8.3789593008343,-5.82115617219448,-1.29901389089655,5.70968302901739,12.1391393387784,23.0872108012514,78.5635151412005,185.501556057072,331.208020668905,50.5,10000
