"A","B","C","D","E","F","G","H","I","J","sim","n"
0.423923534867616,0.471430396574167,0.418069043211135,0.432910122784316,0.429966008476581,0.474255237273827,0.382419260135754,0.302939524077158,0.134275208168356,0.0647368565888383,50.5,100
0.472134636735576,0.50534732911021,0.516548784326664,0.434995913921527,0.419308790639555,0.284558521057943,0.327359154157726,0.133866119160203,0.0253544944192742,0.00457964759122062,50.5,250
0.512486108826061,0.447355556203254,0.442806306678292,0.430894438395993,0.284251283368635,0.267625275583514,0.170870725892057,0.034779045073923,0.000982758013095701,2.79291495780379e-05,50.5,500
0.508178083372336,0.465384825972652,0.437927166980127,0.338148986239925,0.283682665068862,0.187256400883606,0.0736196963110903,0.00832335249392404,2.98570412502023e-05,7.03226202670544e-09,50.5,750
0.487380861565476,0.451178136544736,0.393260528834297,0.28843358089269,0.209657269112696,0.157751681665925,0.0465372546084808,0.0068312285351073,1.10788621085948e-06,4.67022066192562e-11,50.5,1000
0.465684097166479,0.515481920918176,0.322959442885002,0.243454469661138,0.16260527993779,0.0724923860424164,0.0180677038999056,7.73066783869315e-05,3.19967729165591e-08,6.35126160861139e-17,50.5,1500
0.549887677391261,0.432794035211771,0.294393606627405,0.192445991005423,0.068866685509824,0.0366019502139784,0.00833422028722016,2.76297177225862e-05,6.22485588735668e-10,3.72267191603965e-20,50.5,2000
0.489781682378953,0.361078400418248,0.30172342611629,0.134838984752207,0.053574519672883,0.0229884027552332,0.00747919727908618,3.07239601445087e-07,1.98651063693212e-15,1.81427634498942e-29,50.5,2500
0.470894332180256,0.369985290679472,0.19796006398023,0.0492164473483663,0.0086047712900552,0.000646751403354363,1.37748237310105e-05,1.00403566093508e-13,1.00030775461854e-32,1.30650718055989e-60,50.5,5000
0.47157658531906,0.315339693938713,0.0740116207257345,0.00637138944388352,6.74724883482743e-05,2.26146586199731e-07,2.6031104960807e-10,2.72958918805449e-31,2.39745508519977e-66,2.03928649015023e-127,50.5,10000
