"n","eval","type1error0.05","type1error0.01"
"logsoftevalues","100","0","0"
"logsoftevalues","250","0","0"
"logsoftevalues","500","0","0"
"logsoftevalues","750","0","0"
"logsoftevalues","1000","0","0"
"logsoftevalues","1500","0","0"
"logsoftevalues","2000","0","0"
"logsoftevalues","2500","0","0"
"logsoftevalues","5000","0","0"
"logsoftevalues","10000","0","0"
"logmixtevalues","100","0","0"
"logmixtevalues","250","0","0"
"logmixtevalues","500","0","0"
"logmixtevalues","750","0","0"
"logmixtevalues","1000","0","0"
"logmixtevalues","1500","0","0"
"logmixtevalues","2000","0","0"
"logmixtevalues","2500","0","0"
"logmixtevalues","5000","0","0"
"logmixtevalues","10000","0","0"
"logcalib1","100","0","0"
"logcalib1","250","0","0"
"logcalib1","500","0","0"
"logcalib1","750","0","0"
"logcalib1","1000","0","0"
"logcalib1","1500","0","0"
"logcalib1","2000","0","0"
"logcalib1","2500","0","0"
"logcalib1","5000","0","0"
"logcalib1","10000","0","0"
"logcalib2","100","0","0"
"logcalib2","250","0","0"
"logcalib2","500","0","0"
"logcalib2","750","0","0"
"logcalib2","1000","0","0"
"logcalib2","1500","0","0"
"logcalib2","2000","0","0"
"logcalib2","2500","0","0"
"logcalib2","5000","0","0"
"logcalib2","10000","0","0"
"logcalib3","100","0","0"
"logcalib3","250","0","0"
"logcalib3","500","0.01","0"
"logcalib3","750","0","0"
"logcalib3","1000","0","0"
"logcalib3","1500","0","0"
"logcalib3","2000","0","0"
"logcalib3","2500","0","0"
"logcalib3","5000","0.01","0"
"logcalib3","10000","0","0"
"logcalib4","100","0","0"
"logcalib4","250","0","0"
"logcalib4","500","0","0"
"logcalib4","750","0","0"
"logcalib4","1000","0","0"
"logcalib4","1500","0","0"
"logcalib4","2000","0","0"
"logcalib4","2500","0","0"
"logcalib4","5000","0","0"
"logcalib4","10000","0","0"
